date,temperature_max,temperature_min,temperature_mean,rain_sum,wind_speed,shortwave_radiation
2020-03-30,28.6405,15.8905,20.878,1.0000001,10.315115,14.33
2020-03-31,29.040499,19.540499,24.127998,0.2,16.610792,23.09
2020-04-01,25.6405,16.1405,20.378,0.3,20.466246,13.42
2020-04-02,30.8905,17.8905,23.000916,0.5,11.885453,18.13
2020-04-03,28.8405,20.5905,24.048836,0.70000005,13.849477,12.88
2020-04-04,24.4405,15.840501,20.546751,10.000001,17.673029,10.85
2020-04-05,19.3405,15.9405,17.215502,3.5,12.9249525,7.73
2020-04-06,25.040499,14.590501,19.046751,0.7,12.245294,13.72
2020-04-07,28.4405,17.8405,22.352999,0.90000004,12.768586,15.81
2020-04-08,31.790499,19.7405,25.488417,0.0,11.609651,23.71
2020-04-09,33.140503,22.3905,27.384253,1.1,13.276144,21.23
2020-04-10,27.3905,19.540499,22.657166,14.7,17.873556,15.83
2020-04-11,29.2405,18.040499,23.019667,0.4,14.05845,20.75
2020-04-12,33.5905,20.1905,26.640503,0.0,21.479664,27.65
2020-04-13,27.6405,18.1905,22.750917,0.0,18.861387,26.43
2020-04-14,21.1905,13.1405,16.930084,1.6000001,13.397612,13.64
2020-04-15,15.9905,11.540501,13.8905,4.1,10.703569,8.73
2020-04-16,19.2405,10.2405,14.748834,1.3000001,13.779114,9.54
2020-04-17,27.790499,14.290501,20.171751,0.4,7.928177,17.92
2020-04-18,27.1905,18.290499,22.382166,0.0,13.679999,13.47
2020-04-19,37.0905,19.8905,26.97175,0.0,19.66536,26.56
2020-04-20,33.0405,21.3905,27.009249,0.0,16.263872,25.81
2020-04-21,32.690502,20.5905,25.648832,0.5,16.071491,23.58
2020-04-22,36.140503,20.540499,27.448832,0.3,18.0,24.34
2020-04-23,33.7405,20.8905,27.973837,3.4,16.434305,25.03
2020-04-24,36.940502,20.6405,28.70925,0.0,11.966954,27.98
2020-04-25,32.640503,20.3405,26.588419,2.5,16.62249,22.8
2020-04-26,23.790499,18.3905,20.998833,7.1,13.53236,12.18
2020-04-27,28.6905,19.540499,23.598833,0.2,16.179985,17.95
2020-04-28,32.390503,18.040499,24.97592,0.0,9.360001,24.22
2020-04-29,37.0405,21.3405,26.871752,2.8999999,19.652176,23.16
2020-04-30,25.790499,19.790499,22.790497,1.0,17.87718,15.94
2020-05-01,30.040499,15.840501,23.107168,0.0,14.693999,27.38
2020-05-02,32.0405,18.9405,24.873833,0.0,15.876775,25.77
2020-05-03,33.0405,19.4905,25.8655,0.0,14.88242,24.92
2020-05-04,35.2905,20.3405,27.444666,0.0,13.363711,25.25
2020-05-05,35.640503,20.8905,27.67592,0.2,18.25026,24.86
2020-05-06,29.9905,20.790499,24.53842,4.3,14.869351,20.39
2020-05-07,30.040499,20.540499,24.732168,1.0,20.12461,22.92
2020-05-08,34.5405,19.3405,24.705084,6.6,15.077082,20.66
2020-05-09,23.9405,17.9905,20.673834,9.400001,14.372974,15.42
2020-05-10,22.6405,16.2405,19.807167,2.3999999,17.076298,10.83
2020-05-11,27.2405,18.9405,22.680084,1.3000002,18.58451,16.45
2020-05-12,29.5905,17.540499,23.163416,0.5,12.4811535,21.14
2020-05-13,32.390503,19.8405,24.928001,0.8,18.204042,21.64
2020-05-14,30.290499,20.8905,25.263414,2.0000002,12.074766,15.82
2020-05-15,34.0405,21.290499,26.488417,0.1,12.397806,21.09
2020-05-16,32.0905,21.9405,26.63217,0.0,17.654688,24.67
2020-05-17,32.390503,21.1405,26.046751,0.2,23.224882,23.67
2020-05-18,34.7405,20.1405,27.044668,0.0,16.263872,28.05
2020-05-19,35.890503,20.1905,28.119667,0.0,12.245293,26.98
2020-05-20,35.5905,22.4405,28.784254,0.0,14.264361,24.97
2020-05-21,31.8905,23.3405,27.040503,1.4000001,12.758432,17.07
2020-05-22,32.1405,20.8405,26.436335,0.0,14.404499,23.87
2020-05-23,33.890503,21.4905,26.82592,0.2,17.782686,23.84
2020-05-24,32.390503,22.4905,26.415499,1.0,14.20062,21.23
2020-05-25,31.2405,21.290499,25.569666,1.4000001,12.015589,16.97
2020-05-26,25.540499,19.290499,22.890501,14.900001,13.755579,13.45
2020-05-27,29.9905,20.1405,25.130081,0.0,16.45007,25.12
2020-05-28,31.8405,20.6405,25.644667,16.6,13.049689,23.35
2020-05-29,26.9905,19.9405,22.932167,8.5,14.417988,23.16
2020-05-30,24.3405,19.7405,21.634249,3.5000002,9.422101,14.83
2020-05-31,25.790499,20.3405,22.715502,3.1000001,12.24,21.48
2020-06-01,26.3905,20.040499,22.663416,3.5999992,12.096214,19.91
2020-06-02,28.040499,20.5905,23.878,1.3000001,15.94601,21.5
2020-06-03,29.3405,20.7405,24.67592,0.4,13.708391,21.66
2020-06-04,29.2405,21.0905,24.878,0.4,15.034041,24.96
2020-06-05,29.1405,21.6405,25.098831,1.0,15.941944,17.3
2020-06-06,30.1905,21.6405,25.682169,0.2,12.57426,25.48
2020-06-07,32.4905,21.3905,26.967585,0.0,14.81259,28.35
2020-06-08,35.140503,22.6905,28.717585,0.0,13.479583,27.94
2020-06-09,35.9905,22.8405,28.9655,10.1,13.905509,25.91
2020-06-10,31.2405,22.790499,26.136335,11.299998,16.1198,23.35
2020-06-11,25.9405,21.3905,23.053001,6.8999996,15.328561,16.53
2020-06-12,28.2405,20.790499,24.150917,0.0,12.261158,27.88
2020-06-13,28.3405,19.2405,23.91342,0.0,13.849476,28.67
2020-06-14,29.2405,19.3905,24.148832,0.1,15.893093,27.79
2020-06-15,30.4905,19.4405,25.015501,0.0,16.62249,26.17
2020-06-16,30.6405,20.290499,25.321753,0.0,18.079027,25.01
2020-06-17,30.8405,21.4405,25.719667,0.70000005,14.039999,20.08
2020-06-18,31.790499,22.290499,26.013414,0.5,20.883104,22.6
2020-06-19,32.0905,22.4905,25.97175,0.6,20.275385,21.72
2020-06-20,31.7405,22.4405,26.542582,0.8000001,15.646544,21.15
2020-06-21,34.0905,22.4905,27.498833,0.0,11.753876,24.35
2020-06-22,35.9905,22.6405,28.598837,0.0,20.870687,25.8
2020-06-23,33.440502,22.1905,27.78425,0.1,14.618837,25.62
2020-06-24,33.7905,21.8405,26.894667,4.8999996,18.837322,25.71
2020-06-25,29.790499,21.0905,24.900915,1.0,18.532133,24.51
2020-06-26,29.4405,21.1405,24.561333,1.9000001,17.974781,17.8
2020-06-27,28.790499,22.1905,24.6905,2.3,9.028754,12.39
2020-06-28,29.9905,22.7405,26.34675,2.0,8.534353,17.0
2020-06-29,31.790499,22.8405,27.592585,2.3,9.726664,20.21
2020-06-30,33.2905,22.1905,27.398834,0.0,10.661107,21.74
2020-07-01,32.940502,22.6905,27.732164,0.0,15.2947035,23.48
2020-07-02,33.9905,21.4905,27.507164,0.2,16.454008,26.83
2020-07-03,34.390503,20.790499,27.37383,0.0,17.414474,28.23
2020-07-04,35.890503,21.4405,28.650923,0.0,17.555305,29.29
2020-07-05,36.3405,21.790499,29.148834,0.0,14.386494,29.11
2020-07-06,35.7405,23.0905,29.321749,0.0,16.343367,28.71
2020-07-07,35.190502,22.290499,28.946753,0.0,14.693999,26.99
2020-07-08,35.5405,22.790499,29.14675,0.0,13.684735,26.5
2020-07-09,36.2405,23.540499,30.063421,0.0,15.893093,26.2
2020-07-10,37.2905,22.6405,30.278002,0.0,17.294992,28.17
2020-07-11,38.0905,22.6905,30.169672,0.0,20.288164,28.51
2020-07-12,38.0905,22.1405,30.3405,0.0,18.681883,28.74
2020-07-13,39.140503,23.8405,31.548834,0.0,17.595861,29.34
2020-07-14,38.4905,22.8905,30.623833,0.0,19.272614,29.75
2020-07-15,36.940502,22.1405,29.415499,0.0,17.713316,28.21
